DipDirecti,Zone,Length,id,X,Y
West,NorthWest,9522.091,1,322400.887,4391431.375
West,NorthWest,9522.091,1,320337.146,4388523.376
West,NorthWest,9522.091,1,318992.587,4387147.549
West,NorthWest,9522.091,1,318085.792,4386209.484
West,NorthWest,9522.091,1,317210.265,4385427.764
West,NorthWest,9522.091,1,316397.276,4384771.119
West,NorthWest,9522.091,1,316022.05,4384427.162
West,NorthEast,7162.987,2,321681.704,4384864.926
West,NorthEast,7162.987,2,323151.338,4387491.505
West,NorthEast,7162.987,2,323807.983,4388648.451
West,NorthEast,7162.987,2,324089.403,4389774.128
West,NorthEast,7162.987,2,324433.359,4390899.805
West,NorthEast,7162.987,2,324558.435,4391368.837
West,NorthWest,9064.541,3,323404.331,4391435.323
West,NorthWest,9064.541,3,322118.52,4389646.368
West,NorthWest,9064.541,3,321224.043,4388360.557
West,NorthWest,9064.541,3,320255.026,4387056.111
West,NorthWest,9064.541,3,319490.993,4386347.983
West,NorthWest,9064.541,3,318764.23,4385490.776
West,NorthWest,9064.541,3,318018.832,4384838.552
West,NorthWest,9064.541,3,317646.133,4384484.488
West,NorthWest,5109.495,4,320776.804,4387969.223
West,NorthWest,5109.495,4,319472.358,4386608.872
West,NorthWest,5109.495,4,318652.42,4385770.3
West,NorthWest,5109.495,4,317608.863,4384745.378
West,NorthWest,5109.495,4,317124.355,4384409.949
West,SouthWest,5307.733,5,317942.64,4378916.8
West,SouthWest,5307.733,5,318520.323,4379569.023
West,SouthWest,5307.733,5,319135.276,4380239.881
West,SouthWest,5307.733,5,319452.07,4380929.374
West,SouthWest,5307.733,5,319489.34,4381264.803
West,SouthWest,5307.733,5,319619.785,4382382.9
West,SouthWest,5307.733,5,319619.785,4383687.346
West,SouthWest,9862.405,6,316733.021,4377608.194
West,SouthWest,9862.405,6,317907.022,4378633.116
West,SouthWest,9862.405,6,318801.5,4379471.688
West,SouthWest,9862.405,6,319509.628,4380645.69
West,SouthWest,9862.405,6,319658.707,4381521.532
West,SouthWest,9862.405,6,319192.834,4382341.47
West,SouthWest,9862.405,6,318372.896,4383105.502
West,SouthWest,9862.405,6,317329.339,4384186.329
West,SouthWest,9862.405,6,316323.052,4384931.727
West,SouthWest,7036.946,7,316807.561,4385211.251
West,SouthWest,7036.946,7,318186.547,4383683.186
West,SouthWest,7036.946,7,319640.072,4382192.39
West,SouthWest,7036.946,7,320988.901,4380747.708
West,SouthWest,7036.946,7,321572.91,4380427.894
West,SouthWest,7036.946,7,321878.819,4380288.844
East,MidEast,5722.743,8,325957.319,4387931.953
East,MidEast,5722.743,8,325565.985,4385695.76
East,MidEast,5722.743,8,325230.556,4384055.885
East,MidEast,5722.743,8,324913.762,4382751.439
East,MidEast,5722.743,8,324764.682,4382341.47
East,NorthEast,5716.069,9,324205.634,4384838.552
East,NorthEast,5716.069,9,324410.618,4385733.03
East,NorthEast,5716.069,9,324820.587,4386757.952
East,NorthEast,5716.069,9,325230.556,4387298.365
East,NorthEast,5716.069,9,325994.589,4387708.334
East,NorthEast,5716.069,9,326665.447,4387764.239
East,NorthEast,5716.069,9,327485.384,4387335.635
East,NorthEast,5716.069,9,327988.528,4387112.016
West,MidMid,6219.364,10,320151.251,4381361.34
West,MidMid,6219.364,10,320058.076,4382740.326
West,MidMid,6219.364,10,320281.696,4383821.153
West,MidMid,6219.364,10,320635.76,4384659.725
West,MidMid,6219.364,10,321399.792,4385703.282
West,MidMid,6219.364,10,322145.19,4386802.744
West,MidMid,6219.364,10,322257,4386970.459
West,MidWest,6318.592,11,320888.09,4385828.233
West,MidWest,6318.592,11,320450.084,4385275.511
West,MidWest,6318.592,11,320053.793,4384545.5
West,MidWest,6318.592,11,319939.077,4383919.777
West,MidWest,6318.592,11,319803.503,4383064.622
West,MidWest,6318.592,11,319761.789,4381667.173
West,MidWest,6318.592,11,319667.93,4380916.306
West,MidWest,6318.592,11,319250.781,4380238.439
West,MidWest,6318.592,11,318875.347,4379435.427
East,MidMid,4812.15,12,321950.806,4386329.348
East,MidMid,4812.15,12,321261.313,4385080.807
East,MidMid,4812.15,12,321056.328,4384577.663
East,MidMid,4812.15,12,320888.614,4383962.71
East,MidMid,4812.15,12,320795.439,4383105.502
East,MidMid,4812.15,12,320851.344,4381763.786
East,MidMid,5082.081,13,321317.217,4384726.743
East,MidMid,5082.081,13,321056.328,4384428.584
East,MidMid,5082.081,13,320851.344,4383459.566
East,MidMid,5082.081,13,320758.169,4382024.676
East,MidMid,5082.081,13,320814.074,4380832.039
East,MidMid,5082.081,13,320963.154,4380049.371
East,MidMid,5082.081,13,321019.058,4379788.482
East,SouthMid,5664.748,14,324690.143,4379285.339
East,SouthMid,5664.748,14,322901.188,4380123.911
East,SouthMid,5664.748,14,321503.385,4381150.952
East,SouthMid,5664.748,14,321030.616,4381429.051
East,SouthMid,5664.748,14,320641.277,4381818.39
East,SouthMid,5664.748,14,320516.133,4382430.208
West,SouthMid,5109.882,15,318801.5,4379974.832
West,SouthMid,5109.882,15,320944.519,4380608.42
West,SouthMid,5109.882,15,322342.14,4380701.595
West,SouthMid,5109.882,15,323124.807,4380757.499
West,SouthMid,5109.882,15,323814.3,4380776.134
West,MidEast,6772.514,16,323199.347,4380049.371
West,MidEast,6772.514,16,323367.062,4382006.041
West,MidEast,6772.514,16,323422.966,4383310.487
West,MidEast,6772.514,16,323534.776,4384559.028
West,MidEast,6772.514,16,323702.491,4386012.554
West,MidEast,6772.514,16,323777.03,4386795.222
East,SouthEast,8291.237,17,325789.604,4384819.917
East,SouthEast,8291.237,17,324615.603,4383180.042
East,SouthEast,8291.237,17,324205.634,4382285.565
East,SouthEast,8291.237,17,323721.125,4380943.849
East,SouthEast,8291.237,17,323012.998,4379900.292
East,SouthEast,8291.237,17,322304.87,4379210.799
East,SouthEast,8291.237,17,321671.281,4378465.401
East,SouthEast,8291.237,17,321335.852,4377924.988
West,MidMid,8294.39,18,325416.906,4386907.031
West,MidMid,8294.39,18,323609.316,4385024.902
West,MidMid,8294.39,18,322603.029,4383832.265
West,MidMid,8294.39,18,321522.202,4382471.914
West,MidMid,8294.39,18,320497.28,4381372.453
West,MidMid,8294.39,18,319845.057,4380776.134
West,MidMid,7193.953,19,324801.952,4388453.732
West,MidMid,7193.953,19,323460.236,4386292.078
West,MidMid,7193.953,19,322733.473,4384838.552
West,MidMid,7193.953,19,321745.821,4382881.883
West,MidMid,7193.953,19,321112.233,4382341.47
West,NorthEast,5305.446,20,326590.907,4390522.211
West,NorthEast,5305.446,20,326013.224,4388528.272
West,NorthEast,5305.446,20,325286.461,4387466.08
West,NorthEast,5305.446,20,324746.047,4386981.571
West,NorthEast,5305.446,20,324596.968,4386422.523
West,NorthEast,5305.446,20,324522.428,4385788.935
East,NorthEast,4428.296,21,323665.221,4388267.382
East,NorthEast,4428.296,21,324336.079,4386459.793
East,NorthEast,4428.296,21,324615.603,4385621.22
East,NorthEast,4428.296,21,325081.477,4384913.092
East,NorthEast,4428.296,21,325193.286,4384670.838
East,NorthEast,4428.296,21,325323.731,4384186.329
East,MidWest,5952.842,22,317962.927,4381838.326
East,MidWest,5952.842,22,318894.675,4383645.916
East,MidWest,5952.842,22,319528.263,4384428.584
East,MidWest,5952.842,22,320646.359,4386292.078
East,MidWest,5952.842,22,321056.328,4386907.031
East,NorthMid,5163.136,23,323646.586,4390335.861
East,NorthMid,5163.136,23,322081.25,4388304.652
East,NorthMid,5163.136,23,321186.773,4387428.81
East,NorthMid,5163.136,23,320646.359,4386795.222
East,NorthMid,5163.136,23,320273.661,4386441.158
West,MidMid,7176.542,24,319081.024,4384782.648
West,MidMid,7176.542,24,321279.948,4383329.122
West,MidMid,7176.542,24,322006.71,4383217.312
West,MidMid,7176.542,24,323162.077,4382714.169
West,MidMid,7176.542,24,324224.269,4382229.66
West,MidMid,7176.542,24,325416.906,4381540.167
East,SouthEast,7595.975,25,318801.5,4384111.79
East,SouthEast,7595.975,25,320478.645,4383217.312
East,SouthEast,7595.975,25,321689.916,4382378.74
East,SouthEast,7595.975,25,321913.536,4381838.326
East,SouthEast,7595.975,25,322882.553,4381055.658
East,SouthEast,7595.975,25,324578.333,4380533.88
East,SouthEast,7595.975,25,325118.746,4380235.721
West,NorthEast,2744.656,26,324373.349,4385080.807
West,NorthEast,2744.656,26,323795.665,4385751.665
West,NorthEast,2744.656,26,323441.601,4386720.682
West,NorthEast,2744.656,26,323199.347,4387335.635
West,NorthEast,2744.656,26,323124.807,4387484.715
West,MidMid,4120.007,27,322863.918,4386161.634
West,MidMid,4120.007,27,322062.615,4384409.949
West,MidMid,4120.007,27,321578.107,4383720.456
West,MidMid,4120.007,27,321019.058,4382490.549
West,MidMid,5207.141,28,320832.709,4386124.364
West,MidMid,5207.141,28,320255.026,4384596.298
West,MidMid,5207.141,28,319975.501,4383422.297
West,MidMid,5207.141,28,320031.406,4382360.105
West,MidMid,5207.141,28,319826.422,4381148.833
West,MidMid,5207.141,28,319826.422,4381074.293
East,NorthMid,5495.632,29,321615.377,4383422.297
East,NorthMid,5495.632,29,321130.868,4385304.426
East,NorthMid,5495.632,29,320907.249,4386068.459
East,NorthMid,5495.632,29,320571.82,4386944.301
East,NorthMid,5495.632,29,320161.851,4387857.414
East,NorthMid,5495.632,29,320012.771,4388416.462
East,NorthMid,5495.632,29,319863.692,4388602.811
West,MidWest,7161.827,30,321287.47,4387398.207
West,MidWest,7161.827,30,320169.373,4385143.379
West,MidWest,7161.827,30,319778.039,4384528.426
West,MidWest,7161.827,30,319293.531,4383317.154
West,MidWest,7161.827,30,319200.356,4381509.565
West,MidWest,7161.827,30,318958.102,4380745.532
East,MidEast,4663.007,31,325696.43,4385472.141
East,MidEast,4663.007,31,324820.587,4383124.137
East,MidEast,4663.007,31,324466.523,4382565.089
East,MidEast,4663.007,31,324112.459,4381707.882
East,MidEast,4663.007,31,323888.84,4381186.103
West,NorthEast,3955.454,32,326199.573,4390429.036
West,NorthEast,3955.454,32,325994.589,4389441.384
West,NorthEast,3955.454,32,325752.335,4389143.225
West,NorthEast,3955.454,32,325510.08,4388677.351
West,NorthEast,3955.454,32,325267.826,4388099.668
West,NorthEast,3955.454,32,325006.937,4387615.159
West,NorthEast,3955.454,32,324690.143,4387056.111
West,NorthEast,3955.454,32,324615.603,4386851.127
West,NorthEast,3955.454,32,324615.603,4386851.127
West,NorthEast,3955.454,32,324615.603,4386851.127
West,NorthEast,3955.454,32,324615.603,4386851.127
West,MidEast,5309.153,33,326069.129,4385360.331
West,MidEast,5309.153,33,323963.38,4384559.028
West,MidEast,5309.153,33,323031.632,4384186.329
West,MidEast,5309.153,33,321224.043,4383496.836
West,MidEast,5309.153,33,321261.313,4383608.646
East,NorthEast,3857.87,34,324373.349,4389758.178
East,NorthEast,3857.87,34,323627.951,4387987.858
East,NorthEast,3857.87,34,323068.902,4387018.841
East,NorthEast,3857.87,34,322658.934,4386310.713
East,NorthEast,5702.985,35,324037.92,4388323.287
East,NorthEast,5702.985,35,323180.712,4385751.665
East,NorthEast,5702.985,35,322789.378,4383962.71
East,NorthEast,5702.985,35,322416.679,4382863.248
East,NorthEast,4760.366,36,325193.286,4390000.432
East,NorthEast,4760.366,36,324186.999,4388230.113
East,NorthEast,4760.366,36,323683.856,4387037.476
East,NorthEast,4760.366,36,323255.252,4385956.649
East,NorthEast,4760.366,36,323143.442,4385714.395
West,NorthEast,7640.947,37,326180.938,4389851.353
West,NorthEast,7640.947,37,324969.667,4387484.715
West,NorthEast,7640.947,37,324131.094,4386273.443
West,NorthEast,7640.947,37,323683.856,4385024.902
West,NorthEast,7640.947,37,323385.696,4384186.329
West,NorthEast,7640.947,37,322863.918,4383422.297
West,NorthEast,7640.947,37,322677.569,4383105.502
West,NorthWest,12655.728,38,315428.575,4381763.786
West,NorthWest,12655.728,38,319323.278,4386031.189
West,NorthWest,12655.728,38,321019.058,4388491.002
West,NorthWest,12655.728,38,322547.124,4392068.911
East,SouthMid,5308.87,39,324541.063,4378763.56
East,SouthMid,5308.87,39,322323.505,4380366.165
East,SouthMid,5308.87,39,320105.946,4381670.612
West,MidEast,8932.583,40,322360.774,4380477.975
West,MidEast,8932.583,40,323143.442,4382900.518
West,MidEast,8932.583,40,323162.077,4383627.281
West,MidEast,8932.583,40,323367.062,4384204.964
West,MidEast,8932.583,40,323888.84,4384689.473
West,MidEast,8932.583,40,324447.888,4385509.41
West,MidEast,8932.583,40,324186.999,4386422.523
West,MidEast,8932.583,40,324373.349,4388807.796
East,MidEast,10090.189,41,325864.144,4386366.618
East,MidEast,10090.189,41,324578.333,4383198.677
East,MidEast,10090.189,41,323553.411,4381353.818
East,MidEast,10090.189,41,323292.522,4379341.243
East,MidEast,10090.189,41,323012.998,4376825.526
West,NorthEast,8956.646,42,324746.047,4391696.212
West,NorthEast,8956.646,42,324112.459,4389702.273
West,NorthEast,8956.646,42,323739.76,4388453.732
West,NorthEast,8956.646,42,323311.157,4387913.318
West,NorthEast,8956.646,42,322733.473,4387167.921
West,NorthEast,8956.646,42,322174.425,4386720.682
West,NorthEast,8956.646,42,321615.377,4385583.95
West,NorthEast,8956.646,42,320944.519,4384055.885
West,NorthEast,8956.646,42,320851.344,4383794.995
West,NorthEast,5386.307,43,322267.6,4384391.314
West,NorthEast,5386.307,43,322565.759,4385080.807
West,NorthEast,5386.307,43,322677.569,4385677.125
West,NorthEast,5386.307,43,322658.934,4386180.269
West,NorthEast,5386.307,43,323217.982,4386925.666
West,NorthEast,5386.307,43,323963.38,4387447.445
West,NorthEast,5386.307,43,324336.079,4387913.318
West,NorthEast,5386.307,43,324447.888,4388994.145
West,MidMid,3429.289,44,319919.597,4380608.42
West,MidMid,3429.289,44,319862.6,4381985.249
West,MidMid,3429.289,44,319890.409,4382798.69
West,MidMid,3429.289,44,319939.077,4383500.89
West,MidMid,3429.289,44,320064.222,4384154.423
West,MidMid,3129.623,45,319453.723,4383385.027
West,MidMid,3129.623,45,321000.423,4386105.729
East,NorthMid,3090.728,46,319751.401,4386190.878
East,NorthMid,3090.728,46,321465.816,4388762.5
West,MidMid,3097.226,47,320981.788,4381819.691
West,MidMid,3097.226,47,321857.631,4383664.551
West,MidMid,3097.226,47,322137.155,4384559.028
West,MidMid,3097.226,47,322174.425,4384670.838
East,SouthEast,7752.854,48,320497.28,4381558.802
East,SouthEast,7752.854,48,325491.445,4379136.259
East,SouthEast,7752.854,48,327336.305,4378279.052
East,SouthEast,7752.854,48,327504.019,4378279.052
West,SouthEast,9193.821,49,328622.116,4380459.34
West,SouthEast,9193.821,49,324876.492,4381670.612
West,SouthEast,9193.821,49,322994.363,4382565.089
West,SouthEast,9193.821,49,321988.076,4383068.233
West,SouthEast,9193.821,49,321242.678,4383515.471
West,SouthEast,9193.821,49,320441.375,4383850.9
West,SouthEast,9193.821,49,320180.486,4384018.615
,NorthMid,,50,321261.313,4385080.807
,NorthMid,,50,320952.417,4385914.135
,NorthMid,,50,320851.344,4386599.555
,NorthMid,,50,321269.992,4387757.535
,NorthMid,,50,322025.294,4389090.421
,NorthMid,,50,322839.835,4390215.97
,NorthMid,,50,323461.849,4390986.082
,MidMid,,51,322863.918,4386161.634
,MidMid,,51,322595.888,4384859.426
,MidMid,,51,322264.705,4383620.934
,MidMid,,51,321823.337,4382605.788
,MidMid,,51,321249.559,4381767.189
,MidEast,,52,322473.913,4383679.194
,MidEast,,52,322784.636,4384244.145
,MidEast,,52,323490.825,4384780.849
,MidEast,,52,324310.004,4385091.572
,MidEast,,52,324535.984,4385374.047
,MidEast,,52,324606.603,4385882.503
,SouthEast,,53,322629.275,4383495.586
,SouthEast,,53,322954.122,4382845.892
,SouthEast,,53,323406.082,4382337.436
,SouthEast,,53,323448.454,4381603
,SouthEast,,53,323363.711,4381052.173
,SouthMid,,54,322431.542,4379639.796
,SouthMid,,54,321612.364,4378933.608
,SouthMid,,54,321485.25,4378594.637
,SouthMid,,54,321428.754,4378199.172
,SouthMid,,55,319423.179,4378298.038
,SouthMid,,55,320708.442,4379258.455
,SouthMid,,55,321923.086,4380317.737
,NorthEast,,56,323293.092,4384343.012
,NorthEast,,56,323504.949,4385204.562
,NorthEast,,56,323476.701,4386080.235
,NorthEast,,56,323391.958,4386955.909
,NorthEast,,57,323137.731,4384724.353
,NorthEast,,57,323109.483,4386037.864
,NorthEast,,57,323180.102,4386871.167
,SouthEast,,58,322645.658,4383060.008
,SouthEast,,58,322663.737,4382255.519
,SouthEast,,58,322645.658,4381306.401
,MidMid,,59,321316.894,4383864.498
,MidMid,,59,322030.992,4383954.891
,MidMid,,59,322591.423,4384081.439
,MidMid,,59,323278.403,4384235.106
,MidMid,,60,321063.796,4382725.557
,MidMid,,60,321172.267,4383276.95
,MidMid,,60,321344.012,4383873.538
,MidMid,,60,321492.956,4384243.068
,MidMid,,60,321618.101,4384462.071
,MidMid,,60,321649.387,4384587.215
,MidWest,,61,317963.346,4384849.773
,MidWest,,61,319002.856,4384605.714
,MidWest,,61,319518.091,4384271.263
,NorthMid,,62,320955.326,4386350.282
,NorthMid,,62,322320.004,4388399.765
,NorthMid,,62,321868.286,4387724.242
,NorthMid,,63,322806.512,4388283.929
,NorthMid,,63,322003.874,4387073.419
,MidEast,,64,323486.305,4382128.97
,MidEast,,64,324010.58,4382490.538
,MidEast,,64,324652.364,4383358.302
,SouthMid,,65,321132.155,4379540.93
,SouthMid,,65,321075.66,4379018.35
,SouthMid,,65,321386.383,4378312.162
,NorthEast,,66,324479.489,4390684.584
,NorthEast,,66,324112.271,4388961.484
,NorthEast,,66,324154.642,4388057.563
,NorthEast,,66,324253.509,4386786.424
,SouthWest,,67,317362.25,4379804.781
,SouthWest,,67,317362.25,4379990.117
,SouthWest,,67,317408.585,4380129.12
,SouthWest,,67,317501.253,4380291.289
,SouthWest,,67,317640.255,4380499.793
,SouthWest,,67,317686.589,4380615.628
,SouthWest,,67,317686.589,4380893.633
,SouthWest,,67,317686.589,4381194.805
,SouthWest,,67,317709.756,4381333.807
,SouthWest,,67,317825.592,4381982.485
,SouthWest,,67,317941.427,4382399.493
,SouthWest,,67,317987.761,4382654.331
,SouthWest,,67,318173.098,4383372.51
,SouthWest,,67,318196.265,4383673.682
,SouthWest,,68,317640.255,4379318.272
,SouthWest,,68,317593.921,4379642.611
,SouthWest,,68,317570.754,4379874.282
,SouthWest,,68,317640.255,4379990.117
,SouthWest,,68,317802.425,4380383.957
,SouthWest,,68,317895.093,4380685.129
,SouthWest,,68,317964.594,4381009.468
,SouthWest,,68,318057.263,4381426.476
,SouthWest,,68,318173.098,4381889.817
,SouthWest,,68,318312.1,4382399.493
,SouthWest,,68,318451.103,4382909.168
,SouthWest,,68,318543.771,4383279.842
,SouthWest,,68,318613.272,4383488.345
,SouthWest,,69,318520.604,4376468.722
,SouthWest,,69,318358.434,4376769.894
,SouthWest,,69,318288.933,4377047.899
,SouthWest,,69,318242.599,4377372.238
,SouthWest,,69,318288.933,4377673.41
,SouthWest,,69,318404.769,4377974.582
,SouthWest,,69,318543.771,4378159.918
,SouthWest,,69,318590.105,4378461.09
,SouthWest,,69,318520.604,4378692.761
,SouthWest,,69,318566.938,4378878.098
,SouthWest,,69,318752.275,4379132.936
,SouthWest,,69,318821.776,4379318.272
