Project,Stn,Date,Time,Meter,Reading,Grav_base,NAD27_UTM_,NAD27_UT_1,NAD83_UTM_,NAD83_UT_1,NGVD29,WGS84_LatD,WGS84_LonD,GPS_Class,Obs_grav,TC_0_53m,TC_53m_400,TC_400m_10,TC_10Km_16,TC_Density,Curv_C,Free_Air,SBA_200,SBA_205,SBA_210,SBA_215,SBA_220,SBA_225,SBA_230,SBA_235,SBA_240,SBA_245,SBA_250,SBA_255,SBA_260,SBA_265,SBA_267,SBA_270,CBA_200,CBA_205,CBA_210,CBA_215,CBA_220,CBA_225,CBA_230,CBA_235,CBA_240,CBA_245,CBA_250,CBA_255,CBA_260,CBA_265,CBA_267,CBA_270,X,Y
PG,"1",16-Mar,11:59:41,G233,3211.909999999999854,"2000",320040.190000000002328,4390511.009999999776483,319959.840000000025611,4390710.879999999888241,1223.217000000000098,39.647266770000002,-119.098357500000006,PP,979731.993999999947846,0.000000000000000,0.001000000000000,0.110000000000000,-0.025000000000000,"1",-0.473000000000000,-28.234000000000002,-130.759999999999991,-133.319999999999993,-135.889999999999986,-138.449999999999989,-141.009999999999991,-143.580000000000013,-146.139999999999986,-148.699999999999989,-151.270000000000010,-153.830000000000013,-156.389999999999986,-158.960000000000008,-161.520000000000010,-164.080000000000013,-165.110000000000014,-166.650000000000006,-131.539999999999992,-134.120000000000005,-136.699999999999989,-139.280000000000001,-141.870000000000005,-144.449999999999989,-147.030000000000001,-149.610000000000014,-152.199999999999989,-154.780000000000001,-157.360000000000014,-159.939999999999998,-162.530000000000001,-165.110000000000014,-166.139999999999986,-167.689999999999998,319959.840,4390710.880
PG,"2",16-Mar,11:52:11,G233,3212.230000000000018,"2000",320510.059999999997672,4390655.740000000223517,320429.710000000020955,4390855.620000000111759,1225.761999999999944,39.648668710000003,-119.092923900000002,PP,979732.331000000005588,0.000000000000000,0.001000000000000,0.129000000000000,-0.027000000000000,"1",-0.473000000000000,-27.239000000000001,-129.979999999999990,-132.550000000000011,-135.120000000000005,-137.680000000000007,-140.250000000000000,-142.819999999999993,-145.389999999999986,-147.960000000000008,-150.530000000000001,-153.099999999999994,-155.659999999999997,-158.229999999999990,-160.800000000000011,-163.370000000000005,-164.400000000000006,-165.939999999999998,-130.719999999999999,-133.310000000000002,-135.900000000000006,-138.479999999999990,-141.069999999999993,-143.659999999999997,-146.240000000000009,-148.830000000000013,-151.419999999999987,-154.000000000000000,-156.590000000000003,-159.180000000000007,-161.770000000000010,-164.349999999999994,-165.389999999999986,-166.939999999999998,320429.710,4390855.620
PG,"3",16-Mar,11:37:06,G233,3211.079999999999927,"2000",320880.469999999972060,4390561.620000000111759,320800.119999999995343,4390761.500000000000000,1234.407999999999902,39.647898859999998,-119.088583999999997,PP,979731.114999999990687,0.011000000000000,0.003000000000000,0.141000000000000,-0.029000000000000,"1",-0.475000000000000,-25.719000000000001,-129.180000000000007,-131.770000000000010,-134.360000000000014,-136.939999999999998,-139.530000000000001,-142.120000000000005,-144.699999999999989,-147.289999999999992,-149.879999999999995,-152.460000000000008,-155.050000000000011,-157.639999999999986,-160.219999999999999,-162.810000000000002,-163.840000000000003,-165.400000000000006,-129.879999999999995,-132.490000000000009,-135.090000000000003,-137.699999999999989,-140.300000000000011,-142.900000000000006,-145.509999999999991,-148.110000000000014,-150.719999999999999,-153.319999999999993,-155.919999999999987,-158.530000000000001,-161.129999999999995,-163.740000000000009,-164.780000000000001,-166.340000000000003,320800.120,4390761.500
PG,"4",16-Mar,11:25:41,G233,3209.389999999999873,"2000",321352.679999999993015,4390489.690000000409782,321272.330000000016298,4390689.559999999590218,1245.996000000000095,39.647349980000001,-119.083064300000004,PP,979729.329999999958090,0.000000000000000,0.004000000000000,0.172000000000000,-0.032000000000000,"1",-0.478000000000000,-23.879999999999999,-128.319999999999993,-130.930000000000007,-133.539999999999992,-136.150000000000006,-138.759999999999991,-141.370000000000005,-143.979999999999990,-146.590000000000003,-149.199999999999989,-151.810000000000002,-154.430000000000007,-157.039999999999992,-159.650000000000006,-162.259999999999991,-163.300000000000011,-164.870000000000005,-128.979999999999990,-131.610000000000014,-134.240000000000009,-136.870000000000005,-139.490000000000009,-142.120000000000005,-144.750000000000000,-147.379999999999995,-150.000000000000000,-152.629999999999995,-155.259999999999991,-157.889999999999986,-160.520000000000010,-163.139999999999986,-164.189999999999998,-165.770000000000010,321272.330,4390689.560
PG,"5",16-Mar,11:08:06,G233,3208.190000000000055,"2000",321607.780000000027940,4390589.009999999776483,321527.429999999993015,4390788.889999999664724,1254.046000000000049,39.648297489999997,-119.080119699999997,PP,979728.060000000055879,0.002000000000000,0.005000000000000,0.198000000000000,-0.033000000000000,"1",-0.480000000000000,-22.751999999999999,-127.859999999999999,-130.490000000000009,-133.120000000000005,-135.750000000000000,-138.370000000000005,-141.000000000000000,-143.629999999999995,-146.259999999999991,-148.889999999999986,-151.509999999999991,-154.139999999999986,-156.770000000000010,-159.400000000000006,-162.020000000000010,-163.080000000000013,-164.650000000000006,-128.479999999999990,-131.120000000000005,-133.759999999999991,-136.409999999999997,-139.050000000000011,-141.689999999999998,-144.340000000000003,-146.979999999999990,-149.620000000000005,-152.270000000000010,-154.909999999999997,-157.550000000000011,-160.199999999999989,-162.840000000000003,-163.900000000000006,-165.479999999999990,321527.430,4390788.890
PG,"6",16-Mar,10:55:11,G233,3206.559999999999945,"2000",322036.059999999997672,4390571.530000000260770,321955.710000000020955,4390771.410000000149012,1270.470000000000027,39.648229360000002,-119.075126400000002,PP,979726.337000000057742,0.000000000000000,0.010000000000000,0.258000000000000,-0.034000000000000,"1",-0.483000000000000,-19.405000000000001,-125.890000000000001,-128.550000000000011,-131.219999999999999,-133.879999999999995,-136.539999999999992,-139.199999999999989,-141.870000000000005,-144.530000000000001,-147.189999999999998,-149.849999999999994,-152.509999999999991,-155.180000000000007,-157.840000000000003,-160.500000000000000,-161.569999999999993,-163.159999999999997,-126.390000000000001,-129.069999999999993,-131.740000000000009,-134.419999999999987,-137.090000000000003,-139.770000000000010,-142.439999999999998,-145.110000000000014,-147.789999999999992,-150.460000000000008,-153.139999999999986,-155.810000000000002,-158.490000000000009,-161.159999999999997,-162.229999999999990,-163.840000000000003,321955.710,4390771.410
PG,"7",16-Mar,10:42:21,G233,3200.679999999999836,"2000",322475.520000000018626,4390503.969999999739230,322395.179999999993015,4390703.849999999627471,1307.268000000000029,39.647712339999998,-119.069989500000005,PP,979720.126999999978580,0.019000000000000,0.044000000000000,0.316000000000000,-0.033000000000000,"1",-0.491000000000000,-14.220000000000001,-123.790000000000006,-126.530000000000001,-129.270000000000010,-132.009999999999991,-134.750000000000000,-137.490000000000009,-140.229999999999990,-142.969999999999999,-145.710000000000008,-148.449999999999989,-151.189999999999998,-153.919999999999987,-156.659999999999997,-159.400000000000006,-160.500000000000000,-162.139999999999986,-124.079999999999998,-126.829999999999998,-129.569999999999993,-132.319999999999993,-135.069999999999993,-137.810000000000002,-140.560000000000002,-143.310000000000002,-146.050000000000011,-148.800000000000011,-151.550000000000011,-154.289999999999992,-157.039999999999992,-159.789999999999992,-160.879999999999995,-162.530000000000001,322395.180,4390703.850
PG,"8",17-Mar,10:35:16,g233,3191.420000000000073,"1000",322812.080000000016298,4390520.459999999962747,322731.739999999990687,4390720.339999999850988,1351.568999999999960,39.647930660000000,-119.066073700000004,PP,979710.354000000050291,0.074000000000000,0.116000000000000,0.344000000000000,-0.022000000000000,"1",-0.500000000000000,-10.350000000000000,-123.640000000000001,-126.469999999999999,-129.300000000000011,-132.129999999999995,-134.960000000000008,-137.800000000000011,-140.629999999999995,-143.460000000000008,-146.289999999999992,-149.120000000000005,-151.960000000000008,-154.789999999999992,-157.620000000000005,-160.449999999999989,-161.590000000000003,-163.289999999999992,-123.609999999999999,-126.439999999999998,-129.270000000000010,-132.110000000000014,-134.939999999999998,-137.770000000000010,-140.599999999999994,-143.430000000000007,-146.259999999999991,-149.090000000000003,-151.930000000000007,-154.759999999999991,-157.590000000000003,-160.419999999999987,-161.550000000000011,-163.250000000000000,322731.740,4390720.340
PG,"9",17-Mar,10:16:21,g233,3177.599999999999909,"1000",323331.159999999974389,4390642.070000000298023,323250.820000000006985,4390841.950000000186265,1417.980999999999995,39.649133050000003,-119.060059899999999,PP,979695.763999999966472,0.100000000000000,0.043000000000000,0.411000000000000,0.009000000000000,"1",-0.512000000000000,-4.566000000000000,-123.420000000000002,-126.390000000000001,-129.360000000000014,-132.330000000000013,-135.300000000000011,-138.270000000000010,-141.250000000000000,-144.219999999999999,-147.189999999999998,-150.159999999999997,-153.129999999999995,-156.099999999999994,-159.069999999999993,-162.039999999999992,-163.229999999999990,-165.020000000000010,-123.310000000000002,-126.280000000000001,-129.250000000000000,-132.219999999999999,-135.189999999999998,-138.159999999999997,-141.129999999999995,-144.099999999999994,-147.060000000000002,-150.030000000000001,-153.000000000000000,-155.969999999999999,-158.939999999999998,-161.909999999999997,-163.090000000000003,-164.879999999999995,323250.820,4390841.950
PG,"10",17-Mar,10:02:16,g233,3174.239999999999782,"1000",323603.070000000006985,4390583.320000000298023,323522.729999999981374,4390783.200000000186265,1434.696999999999889,39.648660139999997,-119.056877000000000,PP,979692.212999999988824,0.060000000000000,0.123000000000000,0.446000000000000,0.020000000000000,"1",-0.515000000000000,-2.919000000000000,-123.170000000000002,-126.180000000000007,-129.180000000000007,-132.189999999999998,-135.199999999999989,-138.199999999999989,-141.210000000000008,-144.219999999999999,-147.219999999999999,-150.229999999999990,-153.240000000000009,-156.240000000000009,-159.250000000000000,-162.250000000000000,-163.460000000000008,-165.259999999999991,-122.900000000000006,-125.900000000000006,-128.900000000000006,-131.900000000000006,-134.900000000000006,-137.900000000000006,-140.900000000000006,-143.900000000000006,-146.900000000000006,-149.900000000000006,-152.900000000000006,-155.900000000000006,-158.900000000000006,-161.900000000000006,-163.099999999999994,-164.900000000000006,323522.730,4390783.200
