VALUE,X,Y
694.32092285,317688.031,4388196.08
613.19812012,317960.071,4388196.08
489.04956055,318232.111,4388196.08
367.02682495,318504.151,4388196.08
262.84707642,318776.191,4388196.08
229.20843506,319048.231,4388196.08
247.08712769,319320.271,4388196.08
303.17425537,319592.311,4388196.08
358.24719238,319864.351,4388196.08
412.27026367,320136.391,4388196.08
434.99914551,320408.431,4388196.08
495.12042236,320680.471,4388196.08
653.62811279,320952.511,4388196.08
820.10522461,321224.551,4388196.08
697.94293213,321496.591,4388196.08
442.58389282,321768.631,4388196.08
340.19952393,322040.671,4388196.08
335.41738892,322312.711,4388196.08
370.82775879,322584.751,4388196.08
403.05474854,322856.791,4388196.08
433.43353271,323128.831,4388196.08
454.22317505,323400.871,4388196.08
482.33987427,323672.911,4388196.08
519.68988037,323944.951,4388196.08
568.18676758,324216.991,4388196.08
564.71569824,324489.031,4388196.08
514.33996582,324761.071,4388196.08
399.13113403,325033.111,4388196.08
611.48425293,317688.031,4387924.04
537.44622803,317960.071,4387924.04
411.93557739,318232.111,4387924.04
279.52182007,318504.151,4387924.04
182.50073242,318776.191,4387924.04
164.57228088,319048.231,4387924.04
195.93267822,319320.271,4387924.04
255.08636475,319592.311,4387924.04
303.90719604,319864.351,4387924.04
340.8086853,320136.391,4387924.04
286.23376465,320408.431,4387924.04
342.65136719,320680.471,4387924.04
564.12854004,320952.511,4387924.04
797.48596191,321224.551,4387924.04
554.07885742,321496.591,4387924.04
285.10119629,321768.631,4387924.04
227.72857666,322040.671,4387924.04
279.6328125,322312.711,4387924.04
356.27636719,322584.751,4387924.04
402.74380493,322856.791,4387924.04
407.52929688,323128.831,4387924.04
410.7298584,323400.871,4387924.04
411.39117432,323672.911,4387924.04
437.86730957,323944.951,4387924.04
571.42315674,324216.991,4387924.04
578.38720703,324489.031,4387924.04
446.08868408,324761.071,4387924.04
319.0880127,325033.111,4387924.04
581.48937988,317688.031,4387652
507.41137695,317960.071,4387652
369.09667969,318232.111,4387652
244.44941711,318504.151,4387652
165.87341309,318776.191,4387652
164.04360962,319048.231,4387652
190.30953979,319320.271,4387652
246.53509521,319592.311,4387652
292.4246521,319864.351,4387652
329.28268433,320136.391,4387652
252.99047852,320408.431,4387652
338.0909729,320680.471,4387652
569.49499512,320952.511,4387652
713.20092773,321224.551,4387652
471.57873535,321496.591,4387652
280.5057373,321768.631,4387652
183.95010376,322040.671,4387652
271.4956665,322312.711,4387652
375.36859131,322584.751,4387652
378.89093018,322856.791,4387652
412.53826904,323128.831,4387652
480.67944336,323400.871,4387652
419.67184448,323672.911,4387652
418.01605225,323944.951,4387652
625.69378662,324216.991,4387652
578.45465088,324489.031,4387652
440.08926392,324761.071,4387652
354.06408691,325033.111,4387652
467.37387085,317688.031,4387379.96
395.77429199,317960.071,4387379.96
267.965271,318232.111,4387379.96
170.08293152,318504.151,4387379.96
127.39498901,318776.191,4387379.96
134.85891724,319048.231,4387379.96
164.69645691,319320.271,4387379.96
219.98471069,319592.311,4387379.96
251.70098877,319864.351,4387379.96
274.15789795,320136.391,4387379.96
210.28079224,320408.431,4387379.96
280.26782227,320680.471,4387379.96
506.45742798,320952.511,4387379.96
658.47802734,321224.551,4387379.96
381.14691162,321496.591,4387379.96
159.40927124,321768.631,4387379.96
147.24208069,322040.671,4387379.96
212.89981079,322312.711,4387379.96
331.49157715,322584.751,4387379.96
308.03872681,322856.791,4387379.96
429.09637451,323128.831,4387379.96
512.57409668,323400.871,4387379.96
410.40042114,323672.911,4387379.96
390.10406494,323944.951,4387379.96
568.60827637,324216.991,4387379.96
451.88739014,324489.031,4387379.96
435.45529175,324761.071,4387379.96
404.88989258,325033.111,4387379.96
373.86404419,317688.031,4387107.92
299.08258057,317960.071,4387107.92
189.4307251,318232.111,4387107.92
118.75202942,318504.151,4387107.92
100.90005493,318776.191,4387107.92
114.27607727,319048.231,4387107.92
148.43333435,319320.271,4387107.92
206.76611328,319592.311,4387107.92
237.29255676,319864.351,4387107.92
340.43554688,320136.391,4387107.92
331.93359375,320408.431,4387107.92
326.55166626,320680.471,4387107.92
448.98965454,320952.511,4387107.92
481.86883545,321224.551,4387107.92
210.32550049,321496.591,4387107.92
195.93418884,321768.631,4387107.92
212.88470459,322040.671,4387107.92
210.50750732,322312.711,4387107.92
268.20690918,322584.751,4387107.92
385.59033203,322856.791,4387107.92
481.83215332,323128.831,4387107.92
516.5333252,323400.871,4387107.92
420.2605896,323672.911,4387107.92
391.19091797,323944.951,4387107.92
501.08511353,324216.991,4387107.92
445.95571899,324489.031,4387107.92
458.75830078,324761.071,4387107.92
500.19116211,325033.111,4387107.92
239.51373291,317688.031,4386835.88
160.94242859,317960.071,4386835.88
79.31710815,318232.111,4386835.88
23.32122803,318504.151,4386835.88
21.03366089,318776.191,4386835.88
30.02325439,319048.231,4386835.88
64.76263428,319320.271,4386835.88
141.92425537,319592.311,4386835.88
219.3079834,319864.351,4386835.88
342.43164063,320136.391,4386835.88
521.75842285,320408.431,4386835.88
473.89593506,320680.471,4386835.88
315.5249939,320952.511,4386835.88
249.14318848,321224.551,4386835.88
141.47515869,321496.591,4386835.88
147.2694397,321768.631,4386835.88
147.30307007,322040.671,4386835.88
223.5619812,322312.711,4386835.88
384.94116211,322584.751,4386835.88
448.35235596,322856.791,4386835.88
461.5994873,323128.831,4386835.88
470.01220703,323400.871,4386835.88
397.11981201,323672.911,4386835.88
452.37692261,323944.951,4386835.88
515.77056885,324216.991,4386835.88
445.7545166,324489.031,4386835.88
520.95904541,324761.071,4386835.88
585.45336914,325033.111,4386835.88
148.65408325,317688.031,4386563.84
63.11024475,317960.071,4386563.84
-2.98886108,318232.111,4386563.84
-47.26434326,318504.151,4386563.84
-39.6277771,318776.191,4386563.84
-25.91223145,319048.231,4386563.84
13.76831055,319320.271,4386563.84
103.36132813,319592.311,4386563.84
203.7555542,319864.351,4386563.84
438.44671631,320136.391,4386563.84
730.74645996,320408.431,4386563.84
528.24523926,320680.471,4386563.84
243.37852478,320952.511,4386563.84
181.94320679,321224.551,4386563.84
167.8263855,321496.591,4386563.84
147.66218567,321768.631,4386563.84
