WellName,MD_ft,Confidence,X,Y,Z,Name
14-28,5056.34,8,321426.0362,4382236.829,-300.0013716,ComboNew
14-28,7053.81,6,321374.4993,4382487.931,-827.5664953,ComboNew
14-28 ST1,5630.83,3,321431.5679,4382263.646,-472.2797265,ComboNew
14-28 ST1,8130,3,321426.7969,4382664.559,-996.8317871,ComboNew
16-29,9060,6,319943.7587,4381543.288,-1460.144789,ComboNew
16-29 ST1,4765.01,4,319828.8578,4381748.927,-172.9679971,ComboNew
16-29 ST1,8669.93,6,319642.8796,4381942.747,-1324.76613,ComboNew
16-29 ST1,9610.11,6,319584.4619,4381996.066,-1600.00037,ComboNew
16-29 ST2,10992.67,7,319507.1771,4382070.521,-2022.564896,ComboNew
21-19,1784.99,20,318577.8298,4384418.218,742.8995707,ComboNew
21-19,4911.65,16,318587.2495,4384405.711,-209.7839994,ComboNew
21-19,9069.95,18,318629.2106,4384036.997,-1400.000409,ComboNew
21-19 ST1,1000,20,318573.8501,4384414.105,982.0870947,ComboNew
21-19 ST1,4849.71,14,318587.8141,4384405.661,-190.9126777,ComboNew
21-19 ST1,9000,16,318377.5884,4384502,-1353.113403,ComboNew
21-28,5529.01,6,321527.0737,4382695.172,-439.4707183,ComboNew
21-28,6579.05,7,321507.1133,4382719.057,-757.3229127,ComboNew
21A-19,1140.01,7,318539.2801,4384431.624,901.3312024,ComboNew
21A-19,5850.07,3,318578.7093,4384421.484,-532.4303441,ComboNew
23-17,5099.68,3,319950.1213,4385559.923,-312.1065353,ComboNew
23-17,7532.72,3,319744.0444,4385679.765,-998.8807275,ComboNew
23-17,9049.5,4,319549.609,4385789.221,-1402.962494,ComboNew
23-17 ST1,5110,2,319950.23,4385560.01,-315.2587417,ComboNew
23-17 ST1,9215.56,2,319964.8049,4385533.737,-1550.241384,ComboNew
23-17 ST2,4691.43,2,319946.0867,4385558.027,-195.3184428,ComboNew
23-17 ST2,7645.51,2,319893.5037,4385802.309,-1051.098102,ComboNew
24-29,4775.73,3,319871.1414,4382293.433,-190.0000166,ComboNew
24-29,6427.54,5,319846.8804,4382311.568,-692.2812296,ComboNew
24-29,8152.19,3,319859.3313,4382308.682,-1217.685545,ComboNew
27-29,6551,2,320227.9859,4382205.596,-655.8637128,ComboNew
33-23,4850,6,324971.3467,4383931.344,-201.8126643,ComboNew
36-15,4670,5,323430.6423,4384611.946,-56.12541121,ComboNew
36-17,7941.67,7,320285.1355,4385063.609,-1163.247011,ComboNew
36-17 ST1,4538.26,2,320278.8396,4385055.551,-126.5314132,ComboNew
36-17 ST1,8399,7,320254.7546,4385002.431,-1298.866385,ComboNew
36A-15,5114.34,25,323579.6777,4384960.224,-331.0022896,ComboNew
36A-15,8589.64,25,323612.8881,4384730.699,-1361.245011,ComboNew
37-17,9002.2,5,320083.7034,4384813.871,-1490.141224,ComboNew
37-17 ST1,3811.06,6,320117.5443,4384820.356,91.1448669,ComboNew
37-17 ST1,9653.07,6,320396.943,4385082.163,-1615.905157,ComboNew
38-21,9433.51,6,322012.5957,4382829.388,-1588.545852,ComboNew
38-21 ST1,9970,4,321967.2759,4382477.147,-1697.491279,ComboNew
38-21 ST3,8178.04,5,321602.2664,4383492.544,-1413.208812,ComboNew
38-21 ST3,9415,3,321554.3068,4383564.412,-1555.309448,ComboNew
44-19,1214.24,3,318946.3567,4383857.661,890.9103961,ComboNew
44-19,4391.45,5,318955.0996,4383889.878,-76.88834379,ComboNew
44-19,9350,7,318971.7953,4383736.172,-1569.833946,ComboNew
44-19 ST1,2040.24,3,318947.9583,4383865.631,639.2748695,ComboNew
44-19 ST1,4519.5,4,318955.508,4383890.864,-115.9273091,ComboNew
44-19 ST1,9250,5,319210.6331,4383499.452,-1458.84423,ComboNew
44-21,4849.68,4,321941.0897,4383833.934,-208.0903094,ComboNew
44-21,7900,7,321852.9247,4383992.751,-1116.977796,ComboNew
45-27,5597.47,3,323127.4662,4382340.418,-325.0001946,ComboNew
45-9,5074.97,4,322814.6205,4386153.634,191.4762882,ComboNew
58-29,6183.12,5,320674.82,4381410.874,-630.2756031,ComboNew
58-29,10450,7,320612.8613,4381413.09,-1921.735933,ComboNew
77-19,5166.46,6,319376.3325,4383315.119,-322.5829674,ComboNew
77-19,7845.84,6,319370.4523,4383283.432,-1138.61661,ComboNew
77A-19,6033.17,6,319344.3395,4383339.432,-572.6615829,ComboNew
77A-19,8129.15,7,319367.0405,4383306.457,-1207.295299,ComboNew
78-20,6096.67,7,320991.019,4382987.312,-612.6677562,ComboNew
78-20,8500,8,321144.7997,4382973.018,-1323.127972,ComboNew
85-19,5390.98,4,319634.7348,4383787.563,-390.9174881,ComboNew
85-19,10020.78,4,319584.3138,4383787.97,-1792.802274,ComboNew
85-19 ST1,5474.76,5,319636.6406,4383789.369,-416.3195512,ComboNew
85-19 ST1,7258.17,5,319705.2099,4383959.474,-924.0111029,ComboNew
85-19 ST2,6000,5,319608.9191,4383781.159,-574.8611237,ComboNew
85-19 ST2,9137.1,5,319341.6048,4383718.348,-1485.901004,ComboNew
88-19,6599.82,4,319645.9687,4383024.064,-734.0525599,ComboNew
88-19,8291.64,6,319783.2315,4383003.311,-1230.594561,ComboNew
88-19 ST1,8250,5,319457.7371,4383248.205,-1171.312134,ComboNew
