id,DipDirecti,X,Y
"2",West,324787.623,4386719.224
"2",West,324332.619,4385401.284
"2",West,324112.963,4384930.591
"2",West,323516.752,4384428.519
"2",West,323171.577,4383895.067
"2",West,323140.198,4383455.754
"2",West,323155.888,4382969.371
"2",West,322920.541,4382373.160
"2",West,322606.746,4381478.844
"2",West,322465.538,4380757.115
"2",West,322355.710,4380490.389
"3",East,320723.975,4380160.904
"3",East,320535.698,4381510.223
"3",East,320504.318,4382090.745
"3",East,320551.387,4382655.576
"3",East,320849.493,4383785.239
"3",East,321037.770,4384208.862
"4",East,320535.698,4383094.889
"4",East,320818.113,4384444.209
"4",East,321304.496,4385071.799
"4",East,321837.948,4385903.356
"5",West,320990.701,4386107.323
"5",West,320425.869,4384789.383
"5",West,320127.764,4384334.380
"5",West,319468.794,4383298.856
"6",West,322546.467,4392062.193
"6",West,322045.817,4390831.427
"6",West,321044.516,4388641.082
"6",West,319311.896,4385981.805
"6",West,318543.098,4385197.317
"6",West,317758.610,4384318.690
"6",West,316989.812,4383392.995
"6",West,315453.920,4381757.139
"7",West,319970.866,4380537.458
"7",West,319876.728,4381902.467
"7",West,320017.936,4383236.097
"7",West,320049.315,4383973.516
"9",West,316560.115,4377312.297
"9",West,318056.716,4378827.275
"9",West,318747.065,4379815.729
"9",West,319453.104,4380521.769
"9",West,319468.794,4380992.461
"9",West,319028.325,4382338.289
"9",West,318311.748,4383253.915
"9",West,317356.312,4384149.637
"9",West,316301.351,4384925.929
"10",East,324462.368,4378835.023
"10",East,323689.339,4379360.726
"10",East,322512.607,4380223.663
"10",East,321759.499,4380600.217
"10",East,321116.219,4380945.392
"10",East,320043.476,4381721.237
"11",West,320990.701,4381808.329
"11",West,321649.671,4383000.751
"11",West,321914.538,4383691.824
"11",West,322173.302,4384607.450
"12",West,322292.951,4384491.278
"12",West,322606.746,4385213.007
"12",West,322638.125,4386028.874
"12",West,323124.508,4386829.052
"12",West,323799.168,4387315.435
"12",West,324222.791,4387707.679
"12",West,324301.240,4388178.371
"12",West,324301.240,4388649.064
"12",West,324348.309,4389072.688
"13",West,320565.923,4382670.766
"13",West,321257.676,4384836.357
"13",West,322113.587,4386448.655
"13",West,322606.746,4387142.847
"13",West,323202.957,4387739.058
"13",West,323501.062,4388382.338
"13",West,323657.960,4388774.582
"13",West,324342.938,4390230.590
"13",West,324979.574,4392502.233
"14",East,320582.767,4387299.745
"14",East,321257.427,4388350.959
"14",East,321869.327,4389276.655
"14",East,322167.433,4389872.865
"14",East,322167.433,4389872.865
"15",East,325696.473,4380944.945
"15",East,325676.568,4381601.807
"15",East,325696.473,4382835.912
"15",East,325696.473,4383433.060
"15",East,325713.318,4384742.314
"15",East,325885.906,4385683.700
"15",East,326253.811,4386339.178
"15",East,327169.437,4386916.421
"15",East,327567.535,4387075.660
"15",East,328005.444,4387314.519
"15",East,328363.732,4387533.473
"15",East,328642.401,4387832.047
"15",East,328861.355,4388250.050
"15",East,329199.739,4388926.817
"15",East,329498.312,4389265.201
"15",East,329657.552,4389603.585
"15",East,329816.791,4389862.349
"16",East,323088.009,4377089.482
"16",East,323146.391,4377769.628
"16",East,323169.743,4378026.507
"16",East,323263.154,4378516.912
"16",East,323356.565,4379871.366
"16",East,323579.511,4381369.016
"16",East,324097.273,4382341.781
"16",East,324630.725,4383361.615
"16",East,324960.210,4384146.103
"16",East,325166.395,4384609.036
"16",East,325283.159,4384912.620
"16",East,325399.922,4385146.147
"17",West,324561.893,4385503.171
"17",West,324979.896,4386796.991
"17",West,325529.509,4388641.082
"17",West,325842.416,4389162.593
"17",West,326092.741,4389642.383
"17",West,326134.462,4389871.847
"17",West,326322.205,4390330.777
"17",West,326363.926,4390601.963
"18",East,323449.975,4383771.260
"18",East,323683.502,4384401.781
"18",East,324314.023,4385149.066
"18",East,324407.434,4385943.056
"18",East,324243.965,4386199.935
"18",East,324127.202,4386690.341
"18",East,324197.260,4387484.331
"18",East,324314.023,4388231.616
"18",East,324360.729,4388675.317
"19",East,324302.347,4389933.441
"19",East,323975.410,4388322.108
"19",East,323414.946,4387364.649
"19",East,322504.193,4386033.548
"19",East,321383.265,4382857.587
